JobID;Elapsed;AllocCPUS;ReqMem;MaxRSS;TotalCPU;CPUTime;ConsumedEnergy;ConsumedEnergyRaw;MaxDiskRead;MaxDiskWrite
24123090;05:29:40;1;45G;;05:23:31;05:29:40;48.22M;48224363;;
24123090.batch;05:29:40;1;;47179560K;05:23:31;05:29:40;48.22M;48220295;1558.64M;56015.42M
24123090.extern;05:29:40;1;;;00:00:00;05:29:40;48.22M;48224363;;
24123094;04:54:24;1;45G;;04:33:27;04:54:24;43.69M;43691761;;
24123094.batch;04:54:24;1;;47171504K;04:33:27;04:54:24;43.68M;43684628;1455.84M;53720.28M
24123094.extern;04:54:24;1;;;00:00:00;04:54:24;43.69M;43691761;;
24080581;03:41:16;1;30G;;02:04:13;03:41:16;39.85M;39847318;;
24080581.batch;03:41:16;1;;31452888K;02:04:13;03:41:16;39.83M;39830809;1247.04M;16238.59M
24080581.extern;03:41:16;1;;;00:00:00;03:41:16;39.85M;39847318;;
24126617;01:43:51;1;35G;;01:36:14;01:43:51;17.37M;17370110;;
24126617.batch;01:43:51;1;;36692012K;01:36:14;01:43:51;17.35M;17354909;538.45M;25373.35M
24126617.extern;01:43:51;1;;;00:00:00;01:43:51;17.37M;17370110;;
24142178;04:50:00;1;40G;;04:39:29;04:50:00;20.29M;20287977;;
24142178.batch;04:50:00;1;;41932272K;04:39:29;04:50:00;20.29M;20287180;1233.50M;31418.55M
24142178.extern;04:50:00;1;;;00:00:00;04:50:00;20.29M;20287977;;
