JobID;Elapsed;AllocCPUS;ReqMem;MaxRSS;TotalCPU;CPUTime;ConsumedEnergy;ConsumedEnergyRaw;MaxDiskRead;MaxDiskWrite
24095777;05:12:40;1;30G;;05:01:58;05:12:40;44.66M;44659861;;
24095777.batch;05:12:40;1;;27749.50M;05:01:58;05:12:40;44.66M;44659861;1954.39M;156.78M
24095777.extern;05:12:40;1;;;00:00:00;05:12:40;44.66M;44659861;;
24095776;05:16:44;1;30G;;05:06:54;05:16:44;45.00M;44997183;;
24095776.batch;05:16:44;1;;25854216K;05:06:54;05:16:44;45.00M;44996326;1348.42M;208.23M
24095776.extern;05:16:44;1;;;00:00:00;05:16:44;45.00M;44997183;;
24112644;02:58:38;1;27G;;02:48:05;02:58:38;34.71M;34708694;;
24112644.batch;02:58:38;1;;25199308K;02:48:05;02:58:38;34.71M;34708694;948.44M;33.85M
24112644.extern;02:58:38;1;;;00:00:00;02:58:38;34.71M;34708694;;
24112645;04:21:57;1;27G;;04:11:15;04:21:57;51.20M;51196447;;
24112645.batch;04:21:57;1;;26985932K;04:11:15;04:21:57;51.19M;51190186;974.87M;58.51M
24112645.extern;04:21:57;1;;;00:00:00;04:21:57;51.20M;51196447;;
24112646;05:11:46;1;27G;;05:01:11;05:11:46;60.12M;60120034;;
24112646.batch;05:11:46;1;;28307804K;05:01:11;05:11:46;60.11M;60114634;987.28M;61.28M
24112646.extern;05:11:46;1;;;00:00:00;05:11:46;60.12M;60120034;;
24123046;05:04:22;1;24G;;04:55:06;05:04:22;44.69M;44687910;;
24123046.batch;05:04:22;1;;25160076K;04:55:06;05:04:22;44.68M;44682468;993.49M;65.96M
24123046.extern;05:04:22;1;;;00:00:00;05:04:22;44.69M;44687910;;
24131209;06:13:45;1;24G;;06:06:04;06:13:45;33.74M;33744103;;
24131209.batch;06:13:45;1;;25162120K;06:06:04;06:13:45;33.74M;33735938;1015.69M;102.34M
24131209.extern;06:13:45;1;;;00:00:00;06:13:45;33.74M;33744103;;
